,Site,Code,UCode,Type,StateCode,TStart,TStop,ShortName,Name,Location,Longitude,Latitude,Error,Parent,ShortEName,EName,UName
16,ALEYSK,LC367.02A,,LP,,1960s,1990s,ALEYSK,"Site 02A, Aleysk missile site, Russia","Aleysk, Russia",82.6743,52.4984,0.0001,RVSN,,,
17,ALEYSK,LC367.03A,,LP,,1960s,1990s,ALEYSK,"Site 03A, Aleysk missile site, Russia","Aleysk, Russia",82.7011,52.5579,0.0002,RVSN,,,
18,ALEYSK,LC367.04A,,LP,,1960s,1990s,ALEYSK,"Site 04A, Aleysk missile site, Russia","Aleysk, Russia",82.5014,52.5928,0.0001,RVSN,,,
19,ALEYSK,LC367.05A,,LP,,1960s,1990s,ALEYSK,"Site 05A, Aleysk missile site, Russia","Aleysk, Russia",82.5890,52.6098,0.0001,RVSN,,,
20,ALEYSK,LC367.06A,,LP,,1960s,1990s,ALEYSK,"Site 06A, Aleysk missile site, Russia","Aleysk, Russia",82.5793,52.5521,0.0001,RVSN,,,
21,ALEYSK,LC300.07B,,LP,,1960s,1990s,ALEYSK,"Site 07B, Aleysk missile site, Russia","Aleysk, Russia",82.7768,52.3995,0.0001,RVSN,,,
22,ALEYSK,LC300.08B,,LP,,1960s,1990s,ALEYSK,"Site 08B, Aleysk missile site, Russia","Aleysk, Russia",82.8263,52.3017,0.0001,RVSN,,,
23,ALEYSK,LC300.09B,,LP,,1960s,1990s,ALEYSK,"Site 09B, Aleysk missile site, Russia","Aleysk, Russia",82.6440,52.2541,0.0001,RVSN,,,
24,ALEYSK,LC300.10B,,LP,,1960s,1990s,ALEYSK,"Site 10B, Aleysk missile site, Russia","Aleysk, Russia",82.5983,52.1712,0.0001,RVSN,,,
25,ALEYSK,LC300.11B,,LP,,1960s,1990s,ALEYSK,"Site 11B, Aleysk missile site, Russia","Aleysk, Russia",82.7274,52.2009,0.0001,RVSN,,,
26,ALEYSK,LC300.13B,,LP,,1960s,1990s,ALEYSK,"Site 13B, Aleysk missile site, Russia","Aleysk, Russia",82.6864,52.3327,0.0001,RVSN,,,
27,ALEYSK,LC375.15C,,LP,,1960s,1990s,ALEYSK,"Site 15C, Aleysk missile site, Russia","Aleysk, Russia",82.9346,52.3718,0.0001,RVSN,,,
28,ALEYSK,LC375.16C,,LP,,1960s,1990s,ALEYSK,"Site 16C, Aleysk missile site, Russia","Aleysk, Russia",82.9575,52.4879,0.0001,RVSN,,,
29,ALEYSK,LC375.17C,,LP,,1960s,1990s,ALEYSK,"Site 17C, Aleysk missile site, Russia","Aleysk, Russia",83.1003,52.5245,0.0001,RVSN,,,
30,ALEYSK,LC375.18C,,LP,,1960s,1990s,ALEYSK,"Site 18C, Aleysk missile site, Russia","Aleysk, Russia",83.0899,52.3996,0.0001,RVSN,,,
31,ALEYSK,LC375.19C,,LP,,1960s,1990s,ALEYSK,"Site 19C, Aleysk missile site, Russia","Aleysk, Russia",83.2003,52.4720,0.0001,RVSN,,,
32,ALEYSK,LC375.20C,,LP,,1960s,1990s,ALEYSK,"Site 20C, Aleysk missile site, Russia","Aleysk, Russia",83.2288,52.5829,0.0001,RVSN,,,
33,ALEYSK,LC268.21D,,LP,,1960s,1990s,ALEYSK,"Site 21D, Aleysk missile site, Russia","Aleysk, Russia",83.6050,52.4933,0.0001,RVSN,,,
34,ALEYSK,LC268.22D,,LP,,1960s,1990s,ALEYSK,"Site 22D, Aleysk missile site, Russia","Aleysk, Russia",83.4896,52.3910,0.0001,RVSN,,,
35,ALEYSK,LC268.23D,,LP,,1960s,1990s,ALEYSK,"Site 23D, Aleysk missile site, Russia","Aleysk, Russia",83.6620,52.4184,0.0001,RVSN,,,
36,ALEYSK,LC268.24D,,LP,,1960s,1990s,ALEYSK,"Site 24D, Aleysk missile site, Russia","Aleysk, Russia",83.4147,52.3038,0.0001,RVSN,,,
37,ALEYSK,LC268.25D,,LP,,1960s,1990s,ALEYSK,"Site 25D, Aleysk missile site, Russia","Aleysk, Russia",83.6439,52.3196,0.0001,RVSN,,,
38,ALEYSK,LC268.26D,,LP,,1960s,1990s,ALEYSK,"Site 26D, Aleysk missile site, Russia","Aleysk, Russia",83.5361,52.2602,0.0001,RVSN,,,
39,ALEYSK,LC073.27E,,LP,,1960s,1990s,ALEYSK,"Site 27E, Aleysk missile site, Russia","Aleysk, Russia",83.5896,52.7850,0.0001,RVSN,,,
40,ALEYSK,LC073.28E,,LP,,1960s,1990s,ALEYSK,"Site 28E, Aleysk missile site, Russia","Aleysk, Russia",83.4971,52.7216,0.0001,RVSN,,,
41,ALEYSK,LC073.29E,,LP,,1960s,1990s,ALEYSK,"Site 29E, Aleysk missile site, Russia","Aleysk, Russia",83.4741,52.6369,0.0001,RVSN,,,
42,ALEYSK,LC073.30E,,LP,,1960s,1990s,ALEYSK,"Site 30E, Aleysk missile site, Russia","Aleysk, Russia",83.6283,52.6613,0.0001,RVSN,,,
43,ALEYSK,LC073.31E,,LP,,1960s,1990s,ALEYSK,"Site 31E, Aleysk missile site, Russia","Aleysk, Russia",83.4173,52.5608,0.0001,RVSN,,,
44,ALEYSK,LC073.32E,,LP,,1960s,1990s,ALEYSK,"Site 32E, Aleysk missile site, Russia","Aleysk, Russia",83.6130,52.5762,0.0001,RVSN,,,
45,ALEYSK,Site14,,LP,,1960s,1990s,ALEYSK,"Site 14 (NPIC), Aleysk missile site, Russia","Aleysk, Russia",82.6801,52.4707,0.0005,RVSN,,,
46,ALSULAY,A1,,LP,,,,Al Sulayil,"Launch Area A, Al Sulayil","Al Sulayil, Saudi Arabia",45.5568,20.7323,0.0001,SA,,,
47,ALSULAY,A2,,LP,,,,Al Sulayil,"Launch Area A, Al Sulayil","Al Sulayil, Saudi Arabia",45.5568,20.7306,0.0001,SA,,,
48,ALSULAY,A3,,LP,,,,Al Sulayil,"Launch Area A, Al Sulayil","Al Sulayil, Saudi Arabia",45.5609,20.7311,0.0001,SA,,,
49,ALSULAY,B1,,LP,,,,Al Sulayil,"Launch Area B, Al Sulayil","Al Sulayil, Saudi Arabia",45.6079,20.7020,0.0001,SA,,,
50,ALSULAY,B2,,LP,,,,Al Sulayil,"Launch Area B, Al Sulayil","Al Sulayil, Saudi Arabia",45.6089,20.6974,0.0001,SA,,,
51,ALSULAY,B3,,LP,,,,Al Sulayil,"Launch Area B, Al Sulayil","Al Sulayil, Saudi Arabia",45.6116,20.6965,0.0001,SA,,,
52,ALSULAY,HQ,,LP,,,,Al Sulayil,"Support Area, Al Sulayil","Al Sulayil, Saudi Arabia",45.5940,20.7037,0.0001,SA,,,
53,ALT,577-1,,LP,,,,ALT 577-1,"Silo 577-1, Altus AFB","Altus, Oklahoma",-99.2600,34.9256,0.1000,SAC,,,
54,ALT,577-2,,LP,,,,ALT 577-2,"Silo 577-2, Altus AFB","Altus, Oklahoma",-99.1705,35.0262,0.1000,SAC,,,
55,ALT,577-3,,LP,,,,ALT 577-3,"Silo 577-3, Altus AFB","Altus, Oklahoma",-98.9408,34.6878,0.1000,SAC,,,
56,ALT,577-4,,LP,,,,ALT 577-4,"Silo 577-4, Altus AFB","Altus, Oklahoma",-98.6608,34.6155,0.1000,SAC,,,
57,ALT,577-5,,LP,,,,ALT 577-5,"Silo 577-5, Altus AFB","Altus, Oklahoma",-98.9621,34.5622,0.1000,SAC,,,
58,ALT,577-6,,LP,,,,ALT 577-6,"Silo 577-6, Altus AFB","Altus, Oklahoma",-99.0149,34.4385,0.1000,SAC,,,
59,ALT,577-7,,LP,,,,ALT 577-7,"Silo 577-7, Altus AFB","Altus, Oklahoma",-99.3242,34.3622,0.1000,SAC,,,
60,ALT,577-8,,LP,,,,ALT 577-8,"Silo 577-8, Altus AFB","Altus, Oklahoma",-99.5400,34.5266,0.1000,SAC,,,
61,ALT,577-9,,LP,,,,ALT 577-9,"Silo 577-9, Altus AFB","Altus, Oklahoma",-99.8340,34.6848,0.1000,SAC,,,
62,ALT,577-10,,LP,,,,ALT 577-10,"Silo 577-10, Altus AFB","Altus, Oklahoma",-99.5905,34.8179,0.1000,SAC,,,
63,ALT,577-11,,LP,,,,ALT 577-11,"Silo 577-11, Altus AFB","Altus, Oklahoma",-99.4970,35.0621,0.1000,SAC,,,
64,ALT,577-12,,LP,,,,ALT 577-12,"Silo 577-12, Altus AFB","Altus, Oklahoma",-99.4271,34.9536,0.1000,SAC,,,
65,ALT,RW17R/35L,,LP,,,,ALT RW17R/35L,"Runway 17R/35L, Altus AFB","Altus, Oklahoma",-99.2738,34.6557,0.0001,SAC,,,
66,AND,Athena,,LP,,1993,*,AND   Athena,"Athena launcher, Pad 5, Andoya",Andoya,16.0207,69.2943,0.0500,ARR,,,
67,AND,Haugnes,,LP,,1980,1983,AND   Haugnes,"Haugnes site, Andoy, Nordland","Haugenes, Andoy",16.1800,69.2800,0.0200,ARR,,,
68,AND,LC10,,LP,,1993,*,AND   LC10,"Pad 10, Andoya",Andoya,16.0185,69.2940,0.0001,ARR,,,
69,AND,LC5,,LP,,1993,*,AND   LC5,"Pad 5, Andoya",Andoya,16.0198,69.2944,0.0001,ARR,,,
70,AND,LC9,,LP,,1993,*,AND   LC9,"Pad 9, Andoya",Andoya,16.0188,69.2941,0.0001,ARR,,,
71,AND,U3,,LP,,1993,*,AND   U3,"Universal Launcher 3, Pad 7, Andoya",Andoya,16.0207,69.2943,0.0001,ARR,,,
72,ANHU,LP1,,LP,,2005,,Anhueng LP1,"LP1, ADD Anhueng",Anhueng Island 1,126.2375,36.6048,0.0001,ADD,,,
73,ANHU,LP2,,LP,,2005,,Anhueng LP2,"Barge launch point, ADD Anhueng",Anhueng Island 2,125.6944,36.6422,0.0001,ADD,,,
74,ANHU,LP3,,LP,,2005,,Anhueng LP3,"LP3, ADD Anhueng",South of Anhueng,125.9086,35.1355,0.0001,ADD,,,
75,APC,KT-408,,LP,,1972 Feb 22,1972 Feb 22,APC   KT-408,"KT No. 408, Luna-20 Site, Apollonius C, Mare Undarum B3",Luna,56.5500,3.5300,0.0100,NPOL,,,LUNA
76,ASKTH,LP1,,LP,,2014,*,ASK t'Harde,"Launch Point 1, Artillerie Schietkamp, t'Harde","t'Harde, Nederland",5.9232,52.3947,0.0001,TMINUS,,,"-            Ashuluk, Rossiya"
77,BALKH,LC A,,LP,,1960,*,SSATC LC A,"Launch Complex A, Sary Shagan [US designation]","Priozyorsk (Sary Shagan-2), Kazakhstan",72.8700,46.3800,0.0200,MO,,,
78,BALKH,LC B,,LP,,1960,*,SSATC LC B,"Launch Complex B, Sary Shagan [US designation]","Priozyorsk (Sary Shagan-2), Kazakhstan",72.6000,45.9500,0.0500,MO,,,
79,BALKH,LC35,,LP,,1960,*,Balkash LC35,"Launch Complex 35, Sary Shagan","Priozyorsk (Sary Shagan-2), Kazakhstan",72.8700,46.3800,0.1000,MO,,,
80,BALKH,LC35/1,,LP,,1960,*,Balkash LC35,"Launch Complex 35, Sary Shagan","Priozyorsk (Sary Shagan-2), Kazakhstan",72.8700,46.3800,0.1000,MO,,,
81,BALKH,LC35/2,,LP,,1960,*,Balkash LC35,"Launch Complex 35, Sary Shagan","Priozyorsk (Sary Shagan-2), Kazakhstan",72.8700,46.3800,0.1000,MO,,,
82,BALKH,LC6,,LP,,1960,*,Balkash LC6,"Launch Complex 6, Sary Shagan","Priozyorsk (Sary Shagan-2), Kazakhstan",72.8700,46.3800,0.0200,MO,,,
83,BARB,5IN,,LP,,1963 May 18,1968,BARB  5IN,"HARP 5-in Gun, Seawell, Barbados",,-59.4830,13.0670,0.0400,USAF,,,
84,BARB,HARP16,,LP,,1963 May 18,1968,BARB  HARP16,"HARP 40-cm Gun, Seawell, Barbados",,-59.4830,13.0670,0.0400,USAF,,,
85,BARK,RW15/33,,LP,,,,Barksdale AFB,"Runway 15/33, Barksdale AFB, Bossier City, Louisiana","Bossier City, Louisiana",-93.6624,32.5015,0.0001,SAC,,,
86,BCB,LP1A,,LP,,2019,,Boca Chica LP1A,"Starship Pad A, Boca Chica","Boca Chica Beach, Texas",-97.1571,25.9970,0.0002,SPX,,,
87,BCB,LP1B,,LP,,2019,,Boca Chica LP1B,"Starship Pad B, Boca Chica","Boca Chica Beach, Texas",-97.1572,25.9966,0.0002,SPX,,,
88,BCB,LX1,,LP,,2019,,Boca Chica LX,"Starship Landing Pad, Boca Chica","Boca Chica Beach, Texas",-97.1553,25.9970,0.0002,SPX,,,
89,BEALE,RW15/33,,LP,,1969,1971,Beale AFB,"Runway 15/33. Beale AFB, Marysville, California","Marysville, California",-121.4382,39.1399,0.0001,NRO,,,
90,BERSH,LC1/8,,LP,,1960s,1990s,BERSH,"LC1/8 Bershet missile base, Russia",,56.3060,57.6920,0.0010,SU,,,
91,BERSH,LC4/1,,LP,,1960s,1990s,BERSH,"LC4/1 Bershet missile base, Russia",,56.3060,57.6920,0.0010,SU,,,
92,BERSH,LC4/4,,LP,,1960s,1990s,BERSH,"LC4/4 Bershet missile base, Russia",,56.3060,57.6920,0.0010,SU,,,
93,BERSH,LC4/9,,LP,,1960s,1990s,BERSH,"LC4/9 Bershet missile base, Russia",,56.3060,57.6920,0.0010,SU,,,
94,BERSH,LC6/1,,LP,,1960s,1990s,BERSH,"LC6/1 Bershet missile base, Russia",,56.3060,57.6920,0.0010,SU,,,
95,BERSH,LC6/4,,LP,,1960s,1990s,BERSH,"LC6/4 Bershet missile base, Russia",,56.3060,57.6920,0.0010,SU,,,
96,BERSH,LC6/7,,LP,,1960s,1990s,BERSH,"LC6/7 Bershet missile base, Russia",,56.3060,57.6920,0.0010,SU,,,
97,BERSH,LC7/1,,LP,,1960s,1990s,BERSH,"LC7/1 Bershet missile base, Russia",,56.3060,57.6920,0.0010,SU,,,
98,BHOT,LP1,,LP,,1990?,,BHOT,"LP1, Bayan Hot test range","Alxa, Nei Monggol",105.6078,38.7577,0.0001,PLA,,,
99,BHOT,LP2,,LP,,1990?,,BHOT,"LP2, Bayan Hot test range","Alxa, Nei Monggol",105.6103,38.7582,0.0001,PLA,,,
100,BHOT,LP3,,LP,,1990?,,BHOT,"LP3, Bayan Hot test range","Alxa, Nei Monggol",105.6038,38.7523,0.0001,PLA,,,
101,BLA,LP1,,LP,,1998 Jul  7,*,BLA   LP1,"K-407 submarine, Barents Launch Area, Barentsovo More, Murmansk Oblast'",,34.2000,69.5000,0.1000,VMF,,,
102,BLAN,BM,,LP,,1967,1980,BLAN  BM,"Black Mesa, Blanding, Utah",,-109.5883,37.5038,0.0200,USA,,,
103,BLAN,WM,,LP,,1967,1980,BLAN  WM,"White Mesa, Blanding, Utah",,-109.5165,37.5380,0.0200,USA,,,
104,BRETA,LP1,,LP,,,,Audierne LP1,"Zone de lancement SNLE, Baie d'Audierne","Baie D'Audierne, Bretagne",-4.0500,47.6300,0.0500,DGA,,,
105,BRETA,LP2,,LP,,,,Audierne LP1,"Zone de lancement SNLE, Baie d'Audierne","Baie D'Audierne, Bretagne",-4.1500,47.6500,0.0200,DGA,,,
106,CAZ,RW06/24,,LP,,1962,,CAZ,"RW 06/24, Base aerienne 120, Cazaux, Nouvelle-Aquitaine","Cazaux, Nouvelle-Aquitaine",-1.1130,44.5397,0.0001,DGA,,,
107,CC,LA,,LP,,1950,1960,CC    LA,"Launch Area, Cape Canaveral",,-80.5370,28.4650,0.0050,USAF,,,
108,CC,LC1,,LP,,1957?,1960?,CC    LC1,"Launch Complex 1, Cape Canaveral",,-80.5372,28.4652,0.0004,USAF,,,
109,CC,LC1/2,,LP,,1957?,1960?,CC    LC1/2?,"Launch Complex 1 or 2, Cape Canaveral",,-80.5372,28.4652,0.0004,USAF,,,
110,CC,LC10,,LP,,1957 Mar 22,1959 Apr 27,CC    LC10,"Launch Complex 10, Cape Canaveral",,-80.5565,28.4501,0.0010,USAF,,,
111,CC,LC11,,LP,,1958 Jul 19,1964 Apr  1,CC    LC11,"Launch Complex 11, Cape Canaveral",,-80.5397,28.4751,0.0002,USAF,,,
112,CC,LC12,,LP,,1958 Jan 10,1967 Nov  5,CC    LC12,"Launch Complex 12, Cape Canaveral",,-80.5421,28.4802,0.0002,USAF,,,
113,CC,LC13,,LP,,1958 Aug  2,1978 Apr  7,CC    LC13,"Launch Complex 13, Cape Canaveral",,-80.5446,28.4859,0.0002,USAF,,,
114,CC,LC14,,LP,,1957 Jun 11,1966 Nov 11,CC    LC14,"Launch Complex 14, Cape Canaveral",,-80.5470,28.4900,0.0002,USAF,,,
115,CC,LC15,,LP,,1959 Feb  6,1964 Apr  9,CC    LC15,"Launch Complex 15, Cape Canaveral",,-80.5496,28.4923,0.0002,USAF,,,
116,CC,LC16,,LP,,1959 Dec 12,1988 Mar 21,CC    LC16,"Launch Complex 16, Cape Canaveral",,-80.5520,28.5015,0.0002,USAF,,,
117,CC,LC17,,LP,,1957 Aug 30,*,CC    LC17,"Launch Complex 17A/17B, Cape Canaveral",,-80.5649,28.4472,0.0001,USAF,,,
118,CC,LC17A,,LP,,1957 Aug 30,1998 Oct  1,CC    LC17A,"Space Launch Complex 17A, Cape Canaveral",,-80.5649,28.4472,0.0001,USAF,,,
119,CC,LC17B,,LP,,1957 Jan 25,1998 Oct  1,CC    LC17B,"Space Launch Complex 17B, Cape Canaveral",,-80.5656,28.4458,0.0001,USAF,,,
120,CC,LC18A,,LP,,1956 Dec  8,1965 Jun  9,CC    LC18A,"Launch Complex 18A, Cape Canaveral",,-80.5625,28.4501,0.0002,USAF,,,
121,CC,LC18B,,LP,,1958 Jun  4,1962 Apr 12,CC    LC18B,"Launch Complex 18B, Cape Canaveral",,-80.5620,28.4485,0.0002,USAF,,,
122,CC,LC19,,LP,,1959 Aug 14,1966 Nov 11,CC    LC19,"Launch Complex 19, Cape Canaveral",,-80.5546,28.5067,0.0002,USAF,,,
123,CC,LC2,,LP,,1954?,1960?,CC    LC2,"Launch Complex 2, Cape Canaveral",,-80.5368,28.4655,0.0004,USAF,,,
124,CC,LC20,,LP,,1960 Jul  1,*,CC    LC20,"Launch Complex 20, Cape Canaveral",,-80.5570,28.5119,0.0002,USAF,,,
125,CC,LC21,,LP,,1958 Jul 24,1963 Jul 17,CC    LC21,"Launch Complex 21, Cape Canaveral",,-80.5416,28.4616,0.0002,USAF,,,
126,CC,LC21/1,,LP,,1958 Jul 24,1963 Jul 17,CC    LC21/1,"Launch Complex 21, Cape Canaveral (Launcher 1)",,-80.5416,28.4616,0.0002,USAF,,,
127,CC,LC21/2,,LP,,1958 Jul 24,1963 Jul 17,CC    LC21/2,"Launch Complex 21, Cape Canaveral (Launcher 2)",,-80.5416,28.4616,0.0002,USAF,,,
128,CC,LC22,,LP,,1957 Mar 13,1960 Jun 24,CC    LC22,"Launch Complex 22, Cape Canaveral",,-80.5411,28.4614,0.0002,USAF,,,
129,CC,LC25A,,LP,,1958 Apr 18,1965 Mar  5,CC    LC25A,"Launch Complex 25A, Cape Canaveral",,-80.5740,28.4315,0.0002,USN,,,
130,CC,LC25B,,LP,,1959 Aug 14,1960 Aug  2,CC    LC25B,"Launch Complex 25B, Cape Canaveral",,-80.5749,28.4297,0.0002,USN,,,
131,CC,LC25C,,LP,,1968 Aug 16,1979 Jan 23,CC    LC25C,"Launch Complex 25C, Cape Canaveral",,-80.5766,28.4310,0.0002,USN,,,
132,CC,LC25D,,LP,,1969 Sep 17,1969 Sep 17,CC    LC25D,"Launch Complex 25D, Cape Canaveral",,-80.5782,28.4298,0.0002,USN,,,
133,CC,LC26A,,LP,,1957 Aug 28,1963 Jan 22,CC    LC26A,"Launch Complex 26A, Cape Canaveral",,-80.5704,28.4440,0.0002,USAF,,,
134,CC,LC26B,,LP,,1957 Oct 23,1961 May 24,CC    LC26B,"Launch Complex 26B, Cape Canaveral",,-80.5714,28.4428,0.0002,USAF,,,
135,CC,LC29,,LP,,1959 Sep 21,1980 May 19,CC    LC29,"Launch Complex 29, Cape Canaveral",,-80.5766,28.4291,0.0002,USN,,,
136,CC,LC29A,,LP,,1959 Sep 21,1980 May 19,CC    LC29A,"Launch Complex 29A, Cape Canaveral",,-80.5766,28.4291,0.0002,USN,,,
137,CC,LC29B,,LP,,1959 Sep 21,1980 May 19,CC    LC29B,"Launch Complex 29B, Cape Canaveral",,-80.5766,28.4291,0.0002,USN,,,
138,CC,LC3,,LP,,1950,1958,CC    LC3,"Launch Complex 3, Cape Canaveral",,-80.5362,28.4658,0.0004,USAF,,,
139,CC,LC3/4,,LP,,1950,1958,CC    LC3/4?,"Launch Complex 3 or 4, Cape Canaveral",,-80.5362,28.4658,0.0004,USAF,,,
140,CC,LC30,,LP,,1960 Feb 25,1963 Apr 24,CC    LC30,"Launch Complex 30 pad A or B, Cape Canaveral",,-80.5792,28.4391,0.0002,USA,,,
141,CC,LC30A,,LP,,1960 Feb 25,1963 Apr 24,CC    LC30A,"Launch Complex 30A, Cape Canaveral",,-80.5792,28.4391,0.0002,USA,,,
142,CC,LC30A TEL,,LP,,1960 Feb 25,1963 Apr 24,CC    LC30A TEL,"Transporter launcher, Launch Complex 30, Cape Canaveral",,-80.5792,28.4391,0.0002,USA,,,
143,CC,LC30B,,LP,,1960 Feb 25,1963 Apr 24,CC    LC30B,"Launch Complex 30B, Cape Canaveral",,-80.5800,28.4376,0.0002,USA,,,
144,CC,LC30D,,LP,,1960 Feb 25,1963 Apr 24,CC    LC30D,"Launch Complex 30D, Cape Canaveral",,-80.5800,28.4376,0.0010,USA,,,
145,CC,LC30E,,LP,,1960 Feb 25,1963 Apr 24,CC    LC30E,"Launch Complex 30E, Cape Canaveral",,-80.5800,28.4376,0.0010,USA,,,
146,CC,LC31A,,LP,,1961 Feb  1,1973,CC    LC31A,"Launch Complex 31A, Cape Canaveral",,-80.5565,28.4514,0.0002,USAF,,,
147,CC,LC31A TEL,,LP,,1961 Feb  1,1973,CC    LC31A Tel,"TEL, Launch Complex 31A, Cape Canaveral",,-80.5565,28.4514,0.0002,USAF,,,
148,CC,LC31A/Truck,,LP,,1961 Feb  1,1973,CC    LC31A/Truck,"Truck launcher, LC31A, Cape Canaveral",,-80.5565,28.4514,0.0002,USAF,,,
149,CC,LC31B,,LP,,1961 Dec 18,1969 Sep 23,CC    LC31B,"Launch Complex 31B, Cape Canaveral",,-80.5552,28.4511,0.0002,USAF,,,
150,CC,LC32A,,LP,,1961,1961 Aug,CC    LC32A,"Launch Complex 32A, Cape Canaveral",,-80.5557,28.4534,0.0002,USAF,,,
151,CC,LC32B,,LP,,1961 Aug 30,1970 Dec 14,CC    LC32B,"Launch Complex 32B, Cape Canaveral",,-80.5546,28.4531,0.0002,USAF,,,
152,CC,LC34,,LP,,1961 Oct 27,1968 Oct 11,CC    LC34,"Launch Complex 34, Cape Canaveral",,-80.5610,28.5218,0.0002,NASA,,,
153,CC,LC36A,,LP,,1962 May  8,*,CC    LC36A,"Space Launch Complex 36A, Cape Canaveral",,-80.5377,28.4710,0.0002,USAF,,,
154,CC,LC36B,,LP,,1965 Aug 11,*,CC    LC36B,"Space Launch Complex 36B, Cape Canaveral",,-80.5411,28.4681,0.0002,USAF,,,
155,CC,LC37A,,LP,,1964 Jan 29,1968 Jan 22,CC    LC37A,"Launch Complex 37A, Cape Canaveral",,-80.5682,28.5334,0.0002,NASA,,,
156,CC,LC37B,,LP,,1964 Jan 29,1968 Jan 22,CC    LC37B,"Launch Complex 37B, Cape Canaveral",,-80.5650,28.5315,0.0002,NASA,,,
157,CC,LC4,,LP,,1952,1960,CC    LC4,"Launch Complex 4, Cape Canaveral",,-80.5360,28.4665,0.0004,USAF,,,
158,CC,LC4/10,,LP,,1950,1958,CC    LC4/10,"Launch Complex 4 or 10, Cape Canaveral",,-80.5362,28.4658,0.0004,USAF,,,
159,CC,LC40,,LP,,1965 Jun 18,*,CC    LC40,"Space Launch Complex 40, Cape Canaveral",,-80.5772,28.5620,0.0001,USAF,,,
160,CC,LC41,,LP,,1965 Dec 21,*,CC    LC41,"Space Launch Complex 41, Cape Canaveral",,-80.5831,28.5833,0.0002,USAF,,,
161,CC,LC43,,LP,,1979,*,CC LC43,"Launch Complex 43, Cape Canaveral",,-80.5000,28.5000,0.5000,USAF,,,
162,CC,LC43D,,LP,,1979,*,CC LC43D,"Launch Complex 43D, Cape Canaveral",,-80.5000,28.5000,0.5000,USAF,,,
163,CC,LC4A,,LP,,1952,1960,CC    LC4A,"Launch Complex 4A, Cape Canaveral",,-80.5360,28.4665,0.0004,USAF,,,
164,CC,LC5,,LP,,1956 Jul 19,1961 Jul 21,CC    LC5,"Launch Complex 5, Cape Canaveral",,-80.5733,28.4394,0.0001,USAF,,,
165,CC,LC6,,LP,,1955 Apr 20,1961 Jun 26,CC    LC6,"Launch Complex 6, Cape Canaveral",,-80.5725,28.4400,0.0004,USAF,,,
